OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2688,31982326,-3.845731499,43.10638706,0,0,0,3.9,4.28,36.7,79.4,0,17.4,5.9,106.3,E20,U111,ES,ES1,ES13,ES130,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2689,31983442,-6.864971921,52.90532332,12,34,54,6.9,7.11,99.7,55.7,12,52.3,6.6,124.5,B13,U111,IE,IE0,IE06,IE062,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2690,31983496,-7.053983441,53.37524572,0,0,0,6.1,6.59,28.9,18.8,1,33.8,2.4,205.9,B13,U111,IE,IE0,IE06,IE062,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2691,31983538,-7.204517817,53.74044902,0,0,0,7,6.94,156,118,65,88.8,13.1,83.7,E10,U111,IE,IE0,IE06,IE062,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2692,31983550,-7.248108737,53.84474529,15,23,62,4,4.17,93.5,216.9,1,57.4,11.8,152.3,E20,U111,IE,IE0,IE04,IE041,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2693,31983592,-7.402757563,54.20961387,26,17,57,4.6,4.83,32.4,35.8,1,18.9,4.1,73.6,E20,U111,UK,UKN,UKN1,UKN16,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2694,32001654,-2.575787236,37.12910412,14,50,37,7.5,7.85,23.1,14.9,26,8.9,1.8,240.2,D20,U420,ES,ES6,ES61,ES611,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2695,32001820,-2.854527252,38.61238933,19,37,44,7.2,7.56,30.5,13.9,742,5.4,2.1,209.9,E10,U111,ES,ES4,ES42,ES422,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2696,32001860,-2.924316035,38.96920696,0,0,0,7.6,8.15,13.53,11.1,471,8.7,1.3,272.5,B13,U111,ES,ES4,ES42,ES422,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2697,32001982,-3.143812936,40.05609335,0,0,0,7.5,7.67,227,17.9,288,14.2,1.1,141.3,B13,U111,ES,ES4,ES42,ES423,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
