point_id,y_true,y_pred
30802150,4.3,15.790625746610027
30802172,6.5,22.138117567507486
30802190,16.3,23.89387929639596
30822110,4.1,15.790625746610027
30822134,5.2,24.320190484029503
30822264,15.6,42.40000407975618
30823370,39.8,28.929847396246394
30841686,10.1,15.926121896027189
30842222,8.2,15.824575545979023
30843418,57.1,23.224184400032176
30881676,9.0,19.337816454539976
30881760,10.4,24.76233935646111
30882072,12.9,40.11254835854124
30882130,3.0,23.273763954414076
30882342,45.4,44.446555089291685
30901990,8.2,19.417242118255274
30902070,39.5,40.235528855713135
30902260,4.6,17.421336439415583
30921662,17.8,26.739301348641224
30922072,6.0,23.177115558499047
30922224,10.0,23.619611939868566
30922248,8.4,19.837865852412186
30923436,87.0,22.63083668550992
30942114,3.5,22.315497517791393
30943572,87.0,25.538471986996687
30961900,7.6,27.056629070633214
30962066,33.0,39.491896584379674
30981674,20.3,17.584294075302775
30981722,33.4,25.58645162216775
31002200,8.2,15.950818677599251
31002282,6.2,16.135260203010265
31003394,34.8,28.990213807831793
31021664,9.9,16.355293997142798
31021880,24.9,22.6621969779611
31022252,3.1,16.015654772077525
31042344,79.7,43.58088177572407
31062288,31.5,45.79155634978323
31101870,14.6,15.859260633025135
31102270,9.0,17.37865670799237
31102292,22.6,18.820038968281676
31122060,15.6,41.03680152000952
31122190,8.9,16.062498708321353
31122316,11.6,40.201973318399574
31141720,37.5,53.12141003963925
31162082,6.8,17.995374825367197
31162208,21.1,16.38570722546741
31162316,14.8,45.37186999168413
31181714,5.9,18.168397125916876
31181858,8.0,15.93408661646022
31182074,24.6,40.52075854605193
31182080,39.6,44.3960595652668
31182138,5.7,19.89022795836657
31202276,17.8,16.81734956326871
31203518,29.2,26.24361508029018
31203580,43.7,30.468778704598424
31222146,13.3,15.790625746610027
31222260,12.0,16.570311307808367
31241680,87.0,43.60324412460638
31241860,9.4,16.940392361553258
31242076,18.7,42.62687485419064
31261792,8.7,16.639928673328946
31281744,6.8,35.669520391525324
31302034,17.1,21.188973175690343
31302250,4.9,18.838977356301132
31321706,7.5,16.919667945797745
31321796,16.7,21.406606470417845
31322218,11.4,17.710016096491255
31341700,33.7,35.711737670957326
31341710,12.2,16.413936642869853
31341718,26.4,19.447009932343175
31341764,28.3,16.69447834592938
31342286,39.3,33.242181183023874
31362102,15.0,36.14788066476756
31362128,5.0,16.820626265943744
31362170,11.1,15.845175419210463
31382126,16.0,27.366227861041978
31382312,31.7,45.01944615926057
31402080,57.9,52.26976805618037
31402214,10.1,16.214562192261035
31421824,11.8,26.132003374677566
31421950,10.4,15.790625746610027
31422138,19.3,16.205020832884934
31423488,87.0,41.66308354707875
31423542,43.2,29.147056318994565
31441638,7.9,16.857907000762832
31441702,15.4,17.016374451785648
31441710,6.9,17.012154801139992
31441732,7.0,42.35945629290256
31441750,14.6,21.366704108697352
31442296,16.5,16.380903407378163
31442314,36.0,44.28910302955667
31461702,16.9,16.336659126614723
31461924,8.2,16.013559126014663
31462270,4.6,18.82082489710266
31462274,5.0,15.845175419210463
31462364,38.8,38.660057534624414
31463508,87.0,38.798140799357846
31483428,35.9,24.69915978460435
31501742,16.1,21.826477656231216
31501756,16.5,16.716572106715613
31501886,29.5,17.997473136038924
